,dist_asec,comp_ampl,id_strip_w_planet,id_opposite_to_half_w_planet,D_strip_w_planets_rel_to_same_half_strip_wo_planet,D_strip_w_planets_rel_to_other_half_same_strip_with_planet,D_strip_w_planets_rel_to_strip_0,D_strip_w_planets_rel_to_strip_1,D_strip_w_planets_rel_to_strip_2,D_strip_w_planets_rel_to_strip_3,D_strip_w_planets_rel_to_strip_4,val_crit_strip_w_planets_rel_to_strip_0,val_crit_strip_w_planets_rel_to_strip_1,val_crit_strip_w_planets_rel_to_strip_2,val_crit_strip_w_planets_rel_to_strip_3,val_crit_strip_w_planets_rel_to_strip_4
30,0.13531648,0.02,strip_1V_S,strip_1V_N,0.24,0.22,0.12,0.0,0.06,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
31,0.17695231999999997,0.02,strip_1V_S,strip_1V_N,0.36,0.34,0.22,0.0,0.06,0.28,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
32,0.20817919999999998,0.02,strip_1V_S,strip_1V_N,0.4,0.44,0.2,0.0,0.08,0.18,0.32,0.2716,0.2716,0.2716,0.2716,0.2716
33,0.23940607999999997,0.02,strip_1V_S,strip_1V_N,0.42,0.46,0.26,0.0,0.08,0.2,0.32,0.2716,0.2716,0.2716,0.2716,0.2716
34,0.27063296,0.02,strip_1V_S,strip_1V_N,0.4,0.44,0.32,0.0,0.06,0.2,0.38,0.2716,0.2716,0.2716,0.2716,0.2716
35,0.30185984,0.02,strip_1V_S,strip_1V_N,0.52,0.56,0.36,0.0,0.08,0.22,0.38,0.2716,0.2716,0.2716,0.2716,0.2716
36,0.33308672,0.02,strip_1V_S,strip_1V_N,0.56,0.6,0.4,0.0,0.1,0.26,0.38,0.2716,0.2716,0.2716,0.2716,0.2716
37,0.41635839999999996,0.02,strip_1V_S,strip_1V_N,0.58,0.62,0.44,0.0,0.14,0.4,0.4,0.2716,0.2716,0.2716,0.2716,0.2716
38,0.520448,0.02,strip_1V_S,strip_1V_N,0.48,0.54,0.36,0.0,0.1,0.3,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
39,0.01040896,0.03,strip_1V_S,strip_1V_N,0.08,0.14,0.12,0.0,0.1,0.12,0.12,0.2716,0.2716,0.2716,0.2716,0.2716
40,0.04163584,0.03,strip_1V_S,strip_1V_N,0.18,0.2,0.14,0.0,0.14,0.16,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
41,0.07286271999999999,0.03,strip_1V_S,strip_1V_N,0.18,0.24,0.08,0.0,0.1,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
42,0.10408959999999999,0.03,strip_1V_S,strip_1V_N,0.2,0.24,0.06,0.0,0.12,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
43,0.13531648,0.03,strip_1V_S,strip_1V_N,0.26,0.24,0.12,0.0,0.04,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
44,0.17695231999999997,0.03,strip_1V_S,strip_1V_N,0.36,0.36,0.2,0.0,0.06,0.28,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
45,0.20817919999999998,0.03,strip_1V_S,strip_1V_N,0.42,0.48,0.2,0.0,0.06,0.18,0.32,0.2716,0.2716,0.2716,0.2716,0.2716
46,0.23940607999999997,0.03,strip_1V_S,strip_1V_N,0.42,0.46,0.26,0.0,0.08,0.18,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
47,0.27063296,0.03,strip_1V_S,strip_1V_N,0.42,0.48,0.3,0.0,0.06,0.2,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
48,0.30185984,0.03,strip_1V_S,strip_1V_N,0.48,0.52,0.36,0.0,0.1,0.22,0.4,0.2716,0.2716,0.2716,0.2716,0.2716
49,0.33308672,0.03,strip_1V_S,strip_1V_N,0.6,0.62,0.38,0.0,0.14,0.26,0.38,0.2716,0.2716,0.2716,0.2716,0.2716
50,0.41635839999999996,0.03,strip_1V_S,strip_1V_N,0.58,0.62,0.44,0.0,0.14,0.38,0.42,0.2716,0.2716,0.2716,0.2716,0.2716
51,0.520448,0.03,strip_1V_S,strip_1V_N,0.52,0.56,0.38,0.0,0.1,0.32,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
52,0.01040896,0.05,strip_1V_S,strip_1V_N,0.1,0.14,0.16,0.0,0.12,0.1,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
53,0.04163584,0.05,strip_1V_S,strip_1V_N,0.2,0.24,0.18,0.0,0.14,0.18,0.18,0.2716,0.2716,0.2716,0.2716,0.2716
54,0.07286271999999999,0.05,strip_1V_S,strip_1V_N,0.18,0.28,0.06,0.0,0.08,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
55,0.10408959999999999,0.05,strip_1V_S,strip_1V_N,0.24,0.24,0.12,0.0,0.1,0.16,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
56,0.13531648,0.05,strip_1V_S,strip_1V_N,0.32,0.26,0.12,0.0,0.08,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
57,0.17695231999999997,0.05,strip_1V_S,strip_1V_N,0.44,0.38,0.22,0.0,0.06,0.28,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
58,0.20817919999999998,0.05,strip_1V_S,strip_1V_N,0.5,0.5,0.2,0.0,0.08,0.16,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
59,0.23940607999999997,0.05,strip_1V_S,strip_1V_N,0.46,0.5,0.26,0.0,0.06,0.18,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
60,0.27063296,0.05,strip_1V_S,strip_1V_N,0.44,0.54,0.3,0.0,0.06,0.2,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
61,0.30185984,0.05,strip_1V_S,strip_1V_N,0.48,0.52,0.34,0.0,0.1,0.22,0.38,0.2716,0.2716,0.2716,0.2716,0.2716
62,0.33308672,0.05,strip_1V_S,strip_1V_N,0.58,0.62,0.38,0.0,0.16,0.26,0.42,0.2716,0.2716,0.2716,0.2716,0.2716
63,0.41635839999999996,0.05,strip_1V_S,strip_1V_N,0.58,0.6,0.46,0.0,0.14,0.38,0.42,0.2716,0.2716,0.2716,0.2716,0.2716
64,0.520448,0.05,strip_1V_S,strip_1V_N,0.58,0.6,0.4,0.0,0.1,0.34,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
65,0.01040896,0.1,strip_1V_S,strip_1V_N,0.14,0.14,0.16,0.0,0.1,0.08,0.08,0.2716,0.2716,0.2716,0.2716,0.2716
66,0.04163584,0.1,strip_1V_S,strip_1V_N,0.22,0.26,0.12,0.0,0.08,0.12,0.14,0.2716,0.2716,0.2716,0.2716,0.2716
67,0.07286271999999999,0.1,strip_1V_S,strip_1V_N,0.24,0.26,0.08,0.0,0.08,0.12,0.12,0.2716,0.2716,0.2716,0.2716,0.2716
68,0.10408959999999999,0.1,strip_1V_S,strip_1V_N,0.28,0.24,0.14,0.0,0.1,0.14,0.18,0.2716,0.2716,0.2716,0.2716,0.2716
69,0.13531648,0.1,strip_1V_S,strip_1V_N,0.36,0.26,0.08,0.0,0.06,0.14,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
70,0.17695231999999997,0.1,strip_1V_S,strip_1V_N,0.5,0.38,0.22,0.0,0.06,0.3,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
71,0.20817919999999998,0.1,strip_1V_S,strip_1V_N,0.58,0.5,0.2,0.0,0.08,0.18,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
72,0.23940607999999997,0.1,strip_1V_S,strip_1V_N,0.5,0.48,0.28,0.0,0.08,0.16,0.3,0.2716,0.2716,0.2716,0.2716,0.2716
73,0.27063296,0.1,strip_1V_S,strip_1V_N,0.58,0.58,0.3,0.0,0.06,0.2,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
74,0.30185984,0.1,strip_1V_S,strip_1V_N,0.56,0.6,0.34,0.0,0.1,0.22,0.4,0.2716,0.2716,0.2716,0.2716,0.2716
75,0.33308672,0.1,strip_1V_S,strip_1V_N,0.56,0.58,0.4,0.0,0.12,0.26,0.42,0.2716,0.2716,0.2716,0.2716,0.2716
76,0.41635839999999996,0.1,strip_1V_S,strip_1V_N,0.56,0.52,0.46,0.0,0.14,0.36,0.42,0.2716,0.2716,0.2716,0.2716,0.2716
77,0.520448,0.1,strip_1V_S,strip_1V_N,0.6,0.64,0.32,0.0,0.1,0.32,0.36,0.2716,0.2716,0.2716,0.2716,0.2716
