,ampl_linear_norm,ampl_linear_norm_0,angle_deg,host_ampl,inject_iteration,last_ampl_step_signed,last_ampl_step_unsigned,noise,rad_asec,rad_pix,s2n,signal
0,0.00018,0.00018,240.0,28760.83515810777,0,,,0.9842264128722792,1.2490752,,5.074113057388813,4.9940760929821835
1,0.00017,0.00018,240.0,28760.83515810777,1,-1e-05,1e-05,0.9816658652941463,1.2490752,116.736,4.808922895066495,4.720755454918282
2,0.000171,0.00018,240.0,28760.83515810777,2,1e-06,1e-06,0.9819118921584706,1.2490752,116.736,4.835870954475395,4.748399199143124
3,0.000172,0.00018,240.0,28760.83515810777,3,1e-06,1e-06,0.9821647926206196,1.2490752,116.736,4.863215978376968,4.776479512871898
4,0.000173,0.00018,240.0,28760.83515810777,4,1e-06,1e-06,0.9824217872105946,1.2490752,116.736,4.8905057651170125,4.804539414129972
5,0.000174,0.00018,240.0,28760.83515810777,5,1e-06,1e-06,0.9826815591889416,1.2490752,116.736,4.917477862242087,4.832314812945159
6,0.000175,0.00018,240.0,28760.83515810777,6,1e-06,1e-06,0.9829383070349406,1.2490752,116.736,4.943961018184268,4.8596086732607855
7,0.000176,0.00018,240.0,28760.83515810777,7,1e-06,1e-06,0.983194791521364,1.2490752,116.736,4.970328602300818,4.886801193931825
8,0.000177,0.00018,240.0,28760.83515810777,8,1e-06,1e-06,0.9834517640210084,1.2490752,116.736,4.997013521775627,4.914321762827072
9,0.000178,0.00018,240.0,28760.83515810777,9,1e-06,1e-06,0.9837085767779998,1.2490752,116.736,5.022875697378953,4.941045903601453
