,ampl_linear_norm,ampl_linear_norm_0,angle_deg,host_ampl,inject_iteration,last_ampl_step_signed,last_ampl_step_unsigned,noise,rad_asec,rad_pix,s2n,signal
0,0.0007,0.0007,0.0,28760.83515810777,0,,,0.8488381711055376,0.20817919999999998,,5.835921996884885,4.953753354550343
1,0.0006,0.0007,0.0,28760.83515810777,1,-0.0001,0.0001,0.8250199924719263,0.20817919999999998,19.456,4.754370647689108,3.9224508359652153
2,0.00065,0.0007,0.0,28760.83515810777,2,5e-05,5e-05,0.8362310939024107,0.20817919999999998,19.456,5.314300064661233,4.443982956397315
3,0.0006399999999999999,0.0007,0.0,28760.83515810777,3,-1e-05,1e-05,0.8336917458835333,0.20817919999999998,19.456,5.20749001279992,4.341441440442228
4,0.0006299999999999999,0.0007,0.0,28760.83515810777,4,-1e-05,1e-05,0.8320586551962713,0.20817919999999998,19.456,5.091495681121026,4.236423049371186
5,0.0006199999999999999,0.0007,0.0,28760.83515810777,5,-1e-05,1e-05,0.8297165510130491,0.20817919999999998,19.456,4.9768343277587235,4.129361813391315
6,0.0006249999999999999,0.0007,0.0,28760.83515810777,6,5e-06,5e-06,0.8310810222103374,0.20817919999999998,19.456,5.032893295664382,4.182742104836309
7,0.0006239999999999999,0.0007,0.0,28760.83515810777,7,-1e-06,1e-06,0.8308352199025014,0.20817919999999998,19.456,5.021142146195412,4.171741739195984
8,0.0006229999999999999,0.0007,0.0,28760.83515810777,8,-1e-06,1e-06,0.8305707952108075,0.20817919999999998,19.456,5.0097791568888335,4.160976258167686
9,0.0006219999999999997,0.0007,0.0,28760.83515810777,9,-1e-06,1e-06,0.8302884358148336,0.20817919999999998,19.456,4.9985403117908485,4.150230216834215
