,ampl_linear_norm,ampl_linear_norm_0,angle_deg,host_ampl,inject_iteration,last_ampl_step_signed,last_ampl_step_unsigned,noise,rad_asec,rad_pix,s2n,signal
0,0.00013000000000000002,0.00013000000000000002,120.0,28760.83515810777,0,,,0.9850680666339526,1.9777024,,5.508312561367218,5.42606280524152
1,0.00013000000000000002,0.00013000000000000002,240.0,28760.83515810777,0,,,0.9665106510810544,1.9777024,,4.009895390940809,3.875606605065121
2,3.000000000000001e-05,0.00013000000000000002,120.0,28760.83515810777,1,-0.0001,0.0001,0.9611208464703656,1.9777024,184.832,2.7790750254714904,2.671026940885812
3,0.00022999999999999998,0.00013000000000000002,240.0,28760.83515810777,1,0.0001,0.0001,0.9793844061722472,1.9777024,184.832,6.758399693920202,6.619071270904738
4,8.000000000000002e-05,0.00013000000000000002,120.0,28760.83515810777,2,5e-05,5e-05,0.9719067982934528,1.9777024,184.832,4.156198080265621,4.039437169264353
5,0.00017999999999999998,0.00013000000000000002,240.0,28760.83515810777,2,-5e-05,5e-05,0.9717623067620956,1.9777024,184.832,5.403452119009288,5.2508710956470015
6,0.00013000000000000002,0.00013000000000000002,120.0,28760.83515810777,3,5e-05,5e-05,0.9850680666339526,1.9777024,184.832,5.508312561367218,5.42606280524152
7,0.00013000000000000002,0.00013000000000000002,240.0,28760.83515810777,3,-5e-05,5e-05,0.9665106510810544,1.9777024,184.832,4.009895390940809,3.875606605065121
8,0.00012000000000000004,0.00013000000000000002,120.0,28760.83515810777,4,-1e-05,1e-05,0.982275584725092,1.9777024,184.832,5.241530905120811,5.148627834682186
9,0.00014,0.00013000000000000002,240.0,28760.83515810777,4,1e-05,1e-05,0.9673472775781808,1.9777024,184.832,4.28928421744761,4.149227410507003
10,0.00011000000000000004,0.00013000000000000002,120.0,28760.83515810777,5,-1e-05,1e-05,0.9795121764724336,1.9777024,184.832,4.969986336108748,4.8681621331201335
11,0.00015,0.00013000000000000002,240.0,28760.83515810777,5,1e-05,1e-05,0.9683020930150475,1.9777024,184.832,4.569804128590367,4.424950902382858
12,0.00011500000000000004,0.00013000000000000002,120.0,28760.83515810777,6,5e-06,5e-06,0.980864146152332,1.9777024,184.832,5.105276109450002,5.007582291967575
13,0.00016,0.00013000000000000002,240.0,28760.83515810777,6,1e-05,1e-05,0.9693704150608538,1.9777024,184.832,4.849334522130231,4.70080141848631
14,0.00011400000000000005,0.00013000000000000002,120.0,28760.83515810777,7,-1e-06,1e-06,0.9805907165508888,1.9777024,184.832,5.077972630482561,4.979412820350697
15,0.00016999999999999999,0.00013000000000000002,240.0,28760.83515810777,7,1e-05,1e-05,0.9705260044661044,1.9777024,184.832,5.1281128665462266,4.9769668908203295
16,0.00011300000000000005,0.00013000000000000002,120.0,28760.83515810777,8,-1e-06,1e-06,0.9803202953615496,1.9777024,184.832,5.050868500047973,4.9514688997993765
17,0.00016499999999999994,0.00013000000000000002,240.0,28760.83515810777,8,-5e-06,5e-06,0.9699456756551168,1.9777024,184.832,4.990028305910043,4.840056376714074
18,0.00011200000000000005,0.00013000000000000002,120.0,28760.83515810777,9,-1e-06,1e-06,0.9800499903614508,1.9777024,184.832,5.023827515593759,4.9236021082352535
19,0.00016599999999999994,0.00013000000000000002,240.0,28760.83515810777,9,1e-06,1e-06,0.9700587803109884,1.9777024,184.832,5.0176541705349536,4.867419484691482
20,0.00011100000000000006,0.00013000000000000002,120.0,28760.83515810777,10,-1e-06,1e-06,0.9797796100081052,1.9777024,184.832,4.996862050744811,4.895823551343053
