,ampl_linear_norm,ampl_linear_norm_0,angle_deg,host_ampl,inject_iteration,last_ampl_step_signed,last_ampl_step_unsigned,noise,rad_asec,rad_pix,s2n,signal
0,0.0001,0.0001,0.0,28760.83515810777,0,,,0.9315149566548312,1.2490752,,1.7859342616679756,1.6636244763460222
1,0.0001,0.0001,0.0,28760.83515810777,0,,,0.382447595151275,0.9368064,,3.54161032859948,1.354480353135788
2,0.0002,0.0001,0.0,28760.83515810777,1,0.0001,0.0001,0.9348196374433878,1.2490752,116.736,4.726574869182407,4.418495005558127
3,0.0002,0.0001,0.0,28760.83515810777,1,0.0001,0.0001,0.3950824580775879,0.9368064,87.552,10.410735528766775,4.1130989831008575
4,0.00030000000000000003,0.0001,0.0,28760.83515810777,2,0.0001,0.0001,0.9535755862239388,1.2490752,116.736,7.516255279500009,7.167317534357996
5,0.00015,0.0001,0.0,28760.83515810777,2,-5e-05,5e-05,0.382745853264896,0.9368064,87.552,7.121200158198956,2.7256098308199714
6,0.00025,0.0001,0.0,28760.83515810777,3,-5e-05,5e-05,0.942248037205214,1.2490752,116.736,6.146786503765696,5.791797518292726
7,0.0001,0.0001,0.0,28760.83515810777,3,-5e-05,5e-05,0.382447595151275,0.9368064,87.552,3.54161032859948,1.354480353135788
8,0.0002,0.0001,0.0,28760.83515810777,4,-5e-05,5e-05,0.9348196374433878,1.2490752,116.736,4.726574869182407,4.418495005558127
9,0.00011,0.0001,0.0,28760.83515810777,4,1e-05,1e-05,0.3815277950811036,0.9368064,87.552,4.269321864610552,1.6288649574964096
10,0.00021,0.0001,0.0,28760.83515810777,5,1e-05,1e-05,0.9359838249256396,1.2490752,116.736,5.016252321282425,4.695131034466043
11,0.00011999999999999999,0.0001,0.0,28760.83515810777,5,1e-05,1e-05,0.38108311494135705,0.9368064,87.552,4.994982922288203,1.9035036511044712
12,0.000205,0.0001,0.0,28760.83515810777,6,-5e-06,5e-06,0.935369544704323,1.2490752,116.736,4.871646855672767,4.556790101350883
13,0.00013000000000000002,0.0001,0.0,28760.83515810777,6,1e-05,1e-05,0.38115878972521744,0.9368064,87.552,5.7175628498606175,2.179299336030738
14,0.000206,0.0001,0.0,28760.83515810777,7,1e-06,1e-06,0.935486162862368,1.2490752,116.736,4.900839595784334,4.584667628264246
15,0.000125,0.0001,0.0,28760.83515810777,7,-5e-06,5e-06,0.38106062640510735,0.9368064,87.552,5.358825138461506,2.0420372640575777
16,0.000207,0.0001,0.0,28760.83515810777,8,1e-06,1e-06,0.9356079305242421,1.2490752,116.736,4.930007305530913,4.612553932597173
17,0.00012,0.0001,0.0,28760.83515810777,8,-5e-06,5e-06,0.38108311494135705,0.9368064,87.552,4.994982922288203,1.9035036511044712
18,0.00020800000000000001,0.0001,0.0,28760.83515810777,9,1e-06,1e-06,0.9357317551026906,1.2490752,116.736,4.958467449741054,4.639795449365757
19,0.000121,0.0001,0.0,28760.83515810777,9,1e-06,1e-06,0.38106691781155067,0.9368064,87.552,5.066472965400789,1.9306652371008253
20,0.000209,0.0001,0.0,28760.83515810777,10,1e-06,1e-06,0.9358572565823332,1.2490752,116.736,4.987313821763107,4.667413830950372
21,0.00021,0.0001,0.0,28760.83515810777,11,1e-06,1e-06,0.9359838249256396,1.2490752,116.736,5.016252321282425,4.695131034466043
