,amplitude
0,71051.98706964498
1,-133394.75014074048
2,-48932.73885209394
3,39453.99323923023
4,39273.842691532795
5,62985.50424057051
6,-28364.119096812654
7,-1775.714927808106
8,8663.309677026486
9,-42959.21407759514
10,-2375.6907754218646
11,-8090.322806069846
12,4443.460070155388
13,-5542.62848063598
14,-12185.3172941819
15,-44894.145147155505
16,-27182.73811343008
17,29715.44623586412
18,-406.50636815975804
19,-9101.494606506012
20,-6047.814385643962
21,3537.970080363275
22,-7024.266586071991
23,-534.7841731620065
24,5536.357550822319
25,-6572.402639837642
26,4572.3007144890435
27,10103.33665837323
28,-9170.013547971126
29,3571.590943613699
30,12355.750636922952
31,6076.490922089888
32,5408.62620382434
33,14742.054161073655
34,-7503.799048499958
35,2209.616280485947
36,-7584.403690471521
37,-13325.632641961825
38,7140.017829064678
39,-1352.6403396115202
40,-6835.948582772944
41,371.0872143684296
42,941.3231542176281
43,535.5916970338476
44,-3520.6596417864157
45,-108.73863124930722
46,-4700.155674195839
47,9042.692780290334
48,-1808.4852306326811
49,6790.140456900044
50,-2693.1682885519695
51,-511.6085256853148
52,-4315.549330524858
53,-314.7150158312543
54,-706.1751816748802
55,430.0592777729198
56,-3338.900159560744
57,714.9838935142398
58,-9503.911564373091
59,-7190.558213052
60,-799.2204020768913
61,3101.4649256227876
62,-6391.626496020428
63,4598.162585531281
64,6401.99490249966
65,-4158.30199736431
66,3224.102044010142
67,3516.4096237136046
68,-3877.8596888047796
69,1401.6383316132087
70,-3275.781027835529
71,-2541.880400841819
72,-7299.835598947386
73,675.4384141131886
74,492.4195076151882
75,5306.480243303435
76,-177.2888346281252
77,-6572.901503888726
78,-8124.226275151312
79,1036.0358090345399
80,1882.4374609955994
81,-3009.4784050970466
82,3456.9527692930114
83,1152.2159894289398
84,1609.6901826859248
85,2043.4552799657613
86,2361.095424404015
87,-1339.903823425263
88,-5932.295655221957
89,-4197.7063347480325
90,-35.96453937152364
91,1226.9780242828929
92,2376.0781650054632
93,-3531.7417916634604
94,2264.2438220158583
95,-3032.384834167651
96,-197.24043714956497
97,2612.4151262530504
98,-670.3821479277813
99,-1165.9749293055174
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0024
