,amplitude
0,194480.08415555314
1,-787694.9501896267
2,200982.59384653426
3,-99345.7477510777
4,48675.73159870994
5,8666.55370895005
6,-60817.27723068085
7,6490.955730924885
8,-10258.625044656641
9,-8719.432482843782
10,-59214.765610674054
11,17495.367293371164
12,-3651.7224533901244
13,-7844.283048439
14,-16737.658774679177
15,-24492.84909497964
16,-14157.19867995265
17,-2846.02270214451
18,9953.5348342683
19,11627.696846746949
20,-13477.095789544066
21,9707.25990171959
22,-16236.427548403211
23,-7191.9536485025965
24,17125.351868708487
25,-1206.1756015084538
26,1798.425371365538
27,4045.2919355598497
28,-9143.388650181754
29,5014.243275827328
30,-5873.14325261303
31,8699.440950459568
32,9530.864371154421
33,3058.014569095423
34,19362.730842245768
35,-7709.63883867165
36,2789.1190256780174
37,-1788.1429111974167
38,8147.296503694437
39,6273.1487919620995
40,2358.573486062436
41,729.0097578165296
42,-5768.393042229727
43,1053.4961738131678
44,-4387.640974761263
45,5793.1244988614635
46,-5854.740718752437
47,-9031.322288193522
48,2467.7857955085055
49,-2142.8646299744905
50,-4976.068743260868
51,-5789.612378723694
52,-9888.977333191258
53,1934.547514736245
54,5242.164077881753
55,-10371.47671023535
56,488.20408539139316
57,5172.381913181394
58,12618.81317053255
59,5089.657257442916
60,-3952.88380793159
61,3168.99421257816
62,-1351.7719117672495
63,-3409.805782306714
64,-312.3822482197138
65,-2349.356963877828
66,5802.623600312087
67,1397.7631778401046
68,-2955.7511228064322
69,3261.183067065882
70,195.1991181383146
71,6674.65567944022
72,-3614.2148602307134
73,2265.5524419303183
74,-1773.768106473275
75,2380.2453564501848
76,8864.00472852838
77,-4539.528097406903
78,-3434.7724443681072
79,-3003.1072823760187
80,-1108.3154649092066
81,-1319.0149042879348
82,-135.46764340338996
83,-1645.071439653806
84,8.757691031933064
85,-2733.2819927171513
86,-5544.5607286359445
87,-2984.4248415804104
88,-1790.225328212291
89,-2972.8364841895527
90,2114.902681052132
91,-275.3349466752261
92,2354.4215295926842
93,21.890160758535785
94,-7195.250298152881
95,-3265.0188211201166
96,-1166.707454802061
97,-2035.4033777665245
98,-2817.403274380078
99,-4144.094815926001
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0026
