,max_strip,med_strip,x_pix,y_integ
64,65965267931.453735,65948681778.48031,64,5153812698069.554
65,71521607014.21101,71507234242.42047,65,5411739146461.42
66,75919290280.71526,75910013286.36665,66,5621582671301.58
67,79025160839.76468,79021179316.00577,67,5778113853123.902
68,80718880996.79065,80718355956.34872,68,5874486419016.653
69,80928065377.72238,80927456855.04823,69,5906710109094.922
70,79668566900.49937,79664669160.47354,70,5870494632707.047
71,77088141999.68954,77076326521.66685,71,5765781445251.604
72,73490962743.96475,73467729478.22675,72,5597070989690.82
73,69349356351.39249,69311645534.62987,73,5374195677841.447
74,65285954076.16576,65231514920.20141,74,5112554305229.586
75,62027411226.00518,61953796914.03946,75,4833172528195.531
76,60332371921.39134,60236128250.96861,76,4560408880615.032
77,60902750136.79023,60778834772.45448,77,4319357641000.4307
78,64292235264.43068,64133985428.16039,78,4135596015718.353
79,70828512472.24605,70628049207.94823,79,4032426337582.375
80,80565120353.00287,80315427537.56157,80,4024912004553.864
81,93274847707.9173,92971324207.6695,81,4124854560140.1665
82,108489564615.5649,108131839150.79109,82,4336528649394.1934
83,125582585897.95068,125175740021.37752,83,4655687703580.045
84,143880783057.64124,143435466600.14807,84,5077697969651.498
85,162786606153.55444,162317417369.02994,85,5601330285952.787
86,181886671813.19196,181410129880.6648,86,6274035414167.52
87,201024726928.2269,200555169683.32272,87,7064680533086.123
88,220322788626.17523,219868262016.24167,88,7928874180035.4
89,240144208727.00842,239703003410.96133,89,8856045326884.49
90,261004471628.1963,260563279177.59604,90,9832847353224.355
91,283447227311.34863,282981352633.1537,91,10871296216357.879
92,307911766796.12823,307388915151.71136,92,11971497795842.102
93,334621685291.77856,334007021919.92786,93,13127807311380.766
94,363521634511.12,362784423254.60205,94,14346425212152.809
95,394279947420.0301,393400023066.48584,95,15615629948128.176
96,426361042204.4092,425333466589.4711,96,16925047306815.598
97,459155582241.92664,457991699745.8458,97,18273369332344.062
98,492141775117.1455,490866996406.62665,98,19635882599458.42
99,525041312415.8055,523687586288.7567,99,21016064327403.125
100,557930893800.8802,556526043441.4662,100,22394675658044.49
101,591276248690.3535,589831750320.4706,101,23775673803083.527
102,625869490066.7166,624369232272.9509,102,25149419133139.258
103,662670140196.4479,661062587444.2158,103,26524940747035.9
104,702571484837.5887,700768929589.4669,104,27891358905516.688
105,746132584991.1472,744016855524.5704,105,29253508314524.176
106,793328084831.0704,790764103487.3623,106,30597495272989.52
107,843369849241.63,840225278650.7053,107,31902192153727.28
108,894645293774.6483,890813416600.1178,108,33142555697071.27
109,944798151923.3213,940219858305.6975,109,34288187578343.086
110,990951644935.6476,985633687903.1882,110,35293271677220.05
111,1030046456053.3794,1024070337647.1107,111,36116745348864.586
112,1059242085707.2444,1052762482276.6714,112,36721707016585.29
113,1076315106553.6757,1069546935221.798,113,37080036689999.28
114,1079985001169.051,1073180561928.2373,114,37176510793600.45
115,1070108733652.0,1063527933731.0898,115,37010299381367.195
116,1047707369435.3129,1041586918908.1687,116,36594392704366.15
117,1014817852565.9338,1009342627616.5443,117,35955372412476.51
118,974194732358.8156,969477262637.5338,118,35129828021143.92
119,928913930702.6838,924985082894.2324,119,34156123997536.902
120,881948060773.1863,878760298199.4885,120,33074238824737.67
121,835786795544.4852,833228824911.7861,121,31913738735384.594
122,792165515410.1886,790086654766.8562,122,30697002080200.75
123,751943055452.5853,750180817408.4181,123,29436642735945.594
124,715139470517.689,713546540243.9143,124,28143835643364.875
125,681113551034.8993,679579116041.2263,125,26817671900164.316
126,648833813483.5448,647295793852.6978,126,25456987031023.805
127,617181177525.928,615627526074.8258,127,24067603941271.58
128,585219558004.7909,583680576665.155,128,22656534782249.34
129,552382225059.0092,550914432411.4379,129,21227782078628.883
130,518544134545.8375,517210918509.27905,130,19802018751941.46
131,483978292992.8259,482831405007.8044,131,18382922757335.848
132,449221221315.71326,448286988328.4357,132,16986806032010.352
133,414892609378.2841,414165150265.8437,133,15617686925145.602
134,381522842800.91876,380966331606.5931,134,14286129100530.783
135,349437427894.0472,348994388100.1997,135,12980845780276.234
136,318730712354.5428,318335001288.5709,136,11710176989289.707
137,289336766962.6519,288927510276.8684,137,10484097377434.469
138,261178794126.34503,260711825939.717,138,9301015061769.201
139,234356399166.58047,233810277579.73727,139,8165658483140.785
140,209317933949.7299,208694607714.4908,140,7092317701757.275
141,186966043302.42117,186284616256.15808,141,6120594084314.617
142,168658590448.54047,167945391415.90405,142,5297197391330.494
143,156091247591.39474,155368797795.7235,143,4679925657659.798
144,151076671437.451,150354640967.0819,144,4328482169578.5083
145,155261575243.8155,154531913327.1321,145,4328716927124.201
146,169840733632.677,169079491408.18283,146,4696472151904.538
147,195331448751.68134,194504959015.27255,147,5392023041963.074
148,231461697551.2985,230536557461.7526,148,6489632069089.223
149,277201961825.4202,276155641243.2068,149,8003004803107.849
150,330939600271.39636,329768516450.8498,150,9867832229046.152
151,390762554975.1877,389484701883.9018,151,12038437395243.553
