,amplitude
0,6536.06479276869
1,48170.93843150294
2,18497.110615259277
3,12242.99904600918
4,8725.0110147402
5,-15455.584680843127
6,2062.2073433925757
7,10609.125667331406
8,-3056.908529528773
9,8421.694453687918
10,16658.458665489205
11,9367.831702944392
12,-3000.8925664946023
13,1792.1442681971662
14,1486.4806622795277
15,-5699.461842455085
16,-4308.721734404834
17,3607.7335212320663
18,5692.318430730947
19,145.90000425670675
20,-3.6774681789596
21,-475.29088734921515
22,2376.6700299394884
23,1830.3847098131796
24,1081.9242794429438
25,1160.8452246596933
26,1274.435647487028
27,1361.6907759063595
28,597.3183871532171
29,-492.6485045847817
30,-531.1067725760922
31,878.7900197806712
32,-364.303202306849
33,386.3967816176464
34,-4007.2074949699127
35,3068.904220271309
36,3140.0911740833044
37,676.1840557243775
38,-1939.3812486112492
39,1200.6661689979192
40,1586.708306287263
41,-3421.558892262836
42,2143.509838531878
43,-1136.4348157344796
44,-3007.660705972319
45,-1874.2430861303123
46,-1722.611764816451
47,774.3357543806533
48,-319.9979267465037
49,352.65199295598086
50,339.1574553252781
51,-314.58480970714845
52,293.3972400603918
53,721.8623978468768
54,206.77814693396306
55,-1397.0230639681586
56,-1449.6501247252581
57,1281.8088098968256
58,-639.5979326098177
59,-730.0188861617085
60,1523.399465041317
61,-1755.4871927559652
62,-297.04571215153555
63,1587.1379919753372
64,-594.6007858880366
65,-1223.7306174513997
66,891.3778296836854
67,1325.9766683066691
68,-2001.4519266843708
69,2449.0545668806826
70,-741.8875287977862
71,-1377.9067977315945
72,-1967.9022564670267
73,-385.0324415792229
74,-1369.3972648716544
75,178.66099474080772
76,1740.4060048819424
77,1062.152555927214
78,-1068.0568121999277
79,574.667206438834
80,2362.297095624692
81,219.49054617264346
82,-485.410142533045
83,-1018.0155999860126
84,-675.9000240263686
85,899.7252207198712
86,-620.2981811110785
87,682.0181569840215
88,419.49949577968073
89,511.42501518402423
90,523.2126005504465
91,-932.5942231898189
92,-1002.6989817020658
93,-332.314444190275
94,-303.4952779355426
95,775.77369659489
96,82.37369239742111
97,692.6298328572502
98,-733.6939126555899
99,-516.7067552129126
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0039
