,amplitude
0,2491.194626960418
1,21547.80251701821
2,66544.01269933012
3,54500.861986377
4,-14595.40819464024
5,-3724.4882483876436
6,-4661.772546954433
7,-31434.76348107215
8,8482.248458357704
9,-5491.376721763567
10,13588.034216300319
11,-6999.271277048904
12,-4507.304174537754
13,1310.6541467565003
14,7645.885096085064
15,-16565.46184231899
16,-4909.037206777207
17,-2884.002946763336
18,-1710.0897115262742
19,1481.8554325220339
20,-4380.94347023366
21,4410.38172418543
22,-1575.9729670250308
23,2561.195800704034
24,-1664.0145022830657
25,-4560.971674431596
26,5661.98339287475
27,-1416.6521216403034
28,3428.287324053239
29,-794.6754150718298
30,-3750.0196925793825
31,-56.75862531180837
32,301.7061817953246
33,823.2894046200963
34,-1977.3193619149206
35,3221.603699213759
36,6017.218737134985
37,-1925.2378452957582
38,563.6604942088816
39,2232.848964063309
40,3377.0734625793393
41,9.312500795036613
42,-641.8637827337297
43,-3452.480131974098
44,-3331.574033713139
45,1725.9348824791014
46,-514.1306858937842
47,1978.1400579113833
48,-445.5528420676701
49,-9374.08607935948
50,380.4640730167448
51,-268.85766695590337
52,-2109.2560892878937
53,-1362.1444257776811
54,2295.1323402111484
55,512.5021985781568
56,1193.320595400768
57,1483.8510974827295
58,4968.571866842993
59,-676.893287870827
60,1101.2116173417708
61,-1518.334387479902
62,-3450.094350842097
63,2490.855308123667
64,1002.7806288750089
65,-5195.9435138886065
66,302.58668619123455
67,-736.107789712195
68,-434.87633446428936
69,-115.12155235388582
70,1048.8394843492388
71,-1244.829959598862
72,-63.01819859110401
73,2804.401765756511
74,1001.488433396542
75,2241.943467420726
76,-108.85390898787591
77,1610.2040106333543
78,299.53530064438564
79,-1169.129782902718
80,109.97850957030687
81,579.2864638635692
82,51.68473852643638
83,287.6743540231364
84,2054.2897726583105
85,253.82823194895354
86,452.16627280475586
87,-898.091425159495
88,1082.4335585486588
89,1241.8585598267036
90,1413.3748927805045
91,723.0568169972139
92,230.64639239806183
93,-2787.4103872754254
94,556.3073962391782
95,-419.2496221597039
96,-122.47913189673636
97,-182.0984456000042
98,-256.1706829517452
99,-1348.3766564833481
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0003
