,amplitude
0,113669.92843035146
1,-122620.28154091912
2,-40614.813093347824
3,-21802.22469498385
4,13543.350115316804
5,-20846.50839743434
6,-15327.43803072668
7,-11802.699757033699
8,-15461.441129451692
9,9290.503099238433
10,3610.090286433287
11,1556.0171892911926
12,-873.8942273629193
13,-4079.7829107033763
14,1285.5240966561278
15,-3955.991463511479
16,643.1714456605814
17,2493.976217865552
18,3587.3955914522558
19,-5809.187418031833
20,-2595.9041588787177
21,3012.0518300758667
22,-2124.427960516363
23,3770.6144741836442
24,-504.9508864646841
25,547.1142520792173
26,-326.571604549581
27,2001.1699211578725
28,1010.355355491296
29,1282.0779214183876
30,-213.18085563339264
31,-2142.753007346364
32,-1461.6126908996284
33,616.4207247417708
34,1490.3164777683196
35,1612.4215851703557
36,-913.936516507255
37,-303.0001184473763
38,225.66553968813605
39,1109.1722941639255
40,1210.23595280257
41,-1097.1839754794291
42,2223.8881556813467
43,-1595.4265792660044
44,545.2683558728822
45,-1049.1468611110013
46,154.31457950457843
47,791.5199422901278
48,-431.53372504261165
49,-665.8525690199681
50,-205.7948469012008
51,565.7687253517379
52,32.200265427902195
53,-800.8848653168789
54,533.1293025074556
55,-450.318140579564
56,372.5527457459393
57,1848.0395880141268
58,-490.0841022477107
59,427.2207578662883
60,1923.0160245301704
61,-303.5334870664874
62,-1412.4270087104924
63,-568.8141436781043
64,-1440.0842219165916
65,-1715.2490520185238
66,14.373031147675647
67,520.3142845793818
68,-327.73659181937546
69,1112.6955440146921
70,995.2491281622551
71,-1493.8393616623653
72,-1846.4421080326501
73,-375.1810665702815
74,540.2619135224159
75,117.16822307316761
76,1640.810837395573
77,31.023895099338006
78,448.73437977635876
79,269.9232521078993
80,-900.8533145506153
81,-567.4888572544305
82,-1157.4238606326032
83,-2042.844152153546
84,659.1414306206298
85,-1665.325053378223
86,1058.0036967938468
87,1720.8052242835802
88,123.89288409094206
89,426.0913154455411
90,-712.0768954172036
91,111.84420236882897
92,472.2957506583407
93,485.6613817157595
94,-857.836993597497
95,-232.63913123922248
96,415.1898112694398
97,-465.97874255079114
98,69.8049694733345
99,-792.2487323694404
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0049
