,amplitude
0,-387134.41019785084
1,-109346.20391176679
2,-223830.17890135647
3,-15685.105579021525
4,-16532.104077886645
5,-22128.870626639808
6,-27190.047659536693
7,46909.42765732088
8,23204.933662084266
9,-36212.898550769794
10,-6979.666333605914
11,-10211.325967468481
12,2066.268850810913
13,1583.6638713149514
14,20567.7658165607
15,-8044.339183463351
16,-3383.185168241682
17,-8169.008629563508
18,-5543.672011433271
19,-7328.181094810021
20,-9095.389701177739
21,-3780.08607525544
22,8218.64996679829
23,-6378.136424838289
24,228.9268197231322
25,-6407.123492837212
26,1859.6121189944424
27,1157.6751527433298
28,4486.60100509107
29,5341.697630498784
30,2208.23509812462
31,4781.279522872956
32,-10478.9809903963
33,-2558.0497923718503
34,290.0047083186828
35,5128.756915237689
36,3751.522512457086
37,2673.5937250465395
38,5318.176257654672
39,4334.676168680964
40,3819.5281042317583
41,-5491.095380580004
42,342.56592838009783
43,-667.2911884481109
44,4511.578085360595
45,-1360.975016183882
46,-2439.6297069042284
47,-1467.6200676906628
48,-1956.4781195338164
49,-7392.698541382539
50,-3930.649936026737
51,-2151.6696762884803
52,-646.0887659920008
53,-868.1846110536244
54,-3766.4525122150517
55,-4657.938283308453
56,758.7226987305112
57,-1082.5874208756613
58,5080.985488534791
59,4241.401302998982
60,-2912.7856240958226
61,-5489.290958969625
62,7338.916283128627
63,3159.059334332487
64,1348.89581985953
65,-1583.7539768609167
66,4451.111354800167
67,-2420.2819811744885
68,5773.365774035374
69,1392.6924222074813
70,343.81744411305317
71,-145.48555541843234
72,-2271.3926690551198
73,-2411.3474466551124
74,-3667.1712406600273
75,-972.86812818619
76,3812.743326597607
77,-7071.102359560318
78,100.11163060994477
79,712.8591109601039
80,-865.805132645899
81,2787.886623205017
82,-843.1962673657308
83,210.66261246169597
84,4870.286425713082
85,-2590.8461375075913
86,2222.868910143434
87,2034.0916761800363
88,-1126.2447190370476
89,1846.2678510142177
90,4083.640943964834
91,-933.817342398208
92,550.4032469491758
93,-2553.936374287441
94,-2544.783773338003
95,-2477.0913553470164
96,738.6222824516226
97,-114.04683357313479
98,-1313.8080519448777
99,-900.594152059015
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0029
