,amplitude
0,1502931.5315367251
1,-2150466.2834563446
2,301928.682915353
3,-142190.04678239967
4,6879.042817291134
5,770655.4169696721
6,-624312.6201700643
7,-265744.2632801122
8,463550.4114548967
9,-32405.64208252137
10,435693.95649491006
11,-245742.0077905854
12,-597551.0511103802
13,68381.67716445158
14,-260715.67756214255
15,249676.9654306223
16,-20254.153749284786
17,410578.17705960805
18,-354219.6742473395
19,95569.13920897004
20,-6835.754048164639
21,-178027.93438078446
22,57340.012282537224
23,-57905.72045545158
24,66054.34135670774
25,59150.61477705519
26,-30538.0094992105
27,69890.49533613183
28,4422.220894902173
29,112625.27375359376
30,134509.38623053255
31,-59046.23767718346
32,31188.016224861633
33,34025.154248316685
34,-36762.62329392173
35,64756.142823792296
36,-73641.8845284915
37,121367.81740892932
38,93716.42276473047
39,-29845.175253644178
40,-8091.324270455894
41,6438.882819832157
42,-22275.5037190835
43,54431.54411508478
44,55135.030062366655
45,35213.56816092861
46,-28246.411189030856
47,-45.008654555887915
48,77007.3828667358
49,152444.27439397527
50,23525.100441225048
51,-25913.538697588294
52,47839.05444085311
53,-29954.81507240363
54,-51020.68811586313
55,14587.180814143969
56,-42014.733201037336
57,-47138.77028575915
58,-83613.54405624408
59,99557.7899907807
60,-57598.06219584978
61,39383.98571868954
62,-77087.83493445616
63,-18037.24991100456
64,-2531.998949726927
65,-26424.712759838032
66,23905.911663302453
67,-26569.53637184709
68,23503.6211723304
69,14457.973701273324
70,-35000.87980426187
71,17725.363648221362
72,15174.089515378233
73,15735.717804640182
74,-39176.59771652656
75,-44452.81158592485
76,32818.99544336059
77,-13922.77702733071
78,-34133.973600749334
79,10549.451761010743
80,9957.0758514146
81,-536.0317024888354
82,-32683.231562496134
83,18606.621754221836
84,-9726.11867145967
85,-20346.52195971686
86,-29033.002677170327
87,-750.3033766015433
88,43170.45559418213
89,15306.519782175543
90,-27710.871901275124
91,-38406.75714045769
92,-3189.859007998937
93,-9415.169328821474
94,-14074.722471443005
95,-2118.340612650849
96,-1357.375246040523
97,22394.478772939736
98,-27939.53991493857
99,26346.749775142394
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0008
