,amplitude
0,-187744.05016865968
1,-71589.07888328651
2,-78614.49008402161
3,-328.232877810402
4,37385.82464769832
5,39914.3761064627
6,-15117.258528504419
7,88274.66663474534
8,-46427.29307405549
9,-13920.49944971018
10,7766.544297549222
11,-5803.62201108189
12,-3591.3513247432784
13,-8153.870029789101
14,11619.264019417402
15,-649.9823762806809
16,1097.0747904323835
17,-286.5535075255284
18,6628.778005317745
19,-921.1273309548251
20,-2473.385533325867
21,8729.259169438912
22,-836.9391284993085
23,238.42466931794524
24,-2799.9165292721345
25,5169.169036020494
26,986.3896243221216
27,5679.4886567507265
28,-7809.068104417604
29,512.7802571650986
30,-5350.87278080686
31,2095.168923428761
32,-6870.6817447473295
33,-6608.362470329881
34,4477.4669135228105
35,-623.0586051268037
36,4477.886615106465
37,2138.6807095487684
38,-1968.6652555815745
39,-1622.834770527279
40,-998.5920219913387
41,-6469.513371342573
42,-1429.1002593604444
43,1758.5345028046818
44,4109.821126050454
45,-3582.14079916639
46,174.82082115233788
47,823.9973593449213
48,-2682.811288697996
49,-244.11375410373648
50,-4647.0660504980715
51,733.8724060627483
52,-2538.977713339227
53,-4392.460631722375
54,1306.7224845423498
55,-3142.3514866110963
56,-1278.5671491552275
57,-624.2135677772094
58,1643.8872472539879
59,607.9470689060208
60,-2405.217061134834
61,-2430.175914946183
62,-755.3041584420607
63,153.42406849833424
64,492.9612873918595
65,1987.5519194504122
66,445.85980167959497
67,461.1675388344629
68,2318.3684945502464
69,333.29317445240304
70,-915.5612873830014
71,1569.453316963698
72,-1259.5296769818797
73,-1870.5672034752788
74,-1984.3581375759709
75,865.0029724701726
76,2692.067547624152
77,-4729.898435242225
78,1215.1144938399302
79,1957.442575977584
80,2987.861646775382
81,2347.957138724796
82,-87.10059923902463
83,-2792.4233228793
84,2923.9006991436772
85,-1346.1381507786464
86,-3723.2164489456354
87,-937.0044736730779
88,-3356.7810013533817
89,1291.0292901679404
90,3242.880862079068
91,1810.7856961115358
92,3514.7805464191642
93,-4655.213197934701
94,-1812.1561012849907
95,-1445.8525290738235
96,-2625.452689166723
97,253.73034025435845
98,-211.29780589691836
99,325.1715715085911
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0027
