,amplitude
0,18896.450010110366
1,-29581.593138940152
2,-73867.41836938885
3,-16668.07305345001
4,118.62014151871335
5,-5730.15546516364
6,12381.980739828017
7,60449.204694306434
8,-3134.1302049799124
9,14444.208217661193
10,1730.3798733285512
11,-2862.652392833723
12,-13216.688511509354
13,-2460.2206129741426
14,4443.519761760839
15,-255.8372619371512
16,-1587.8977135448495
17,2386.279108366213
18,4274.069479582708
19,-4253.86816481745
20,5225.83436051627
21,3299.3570321481266
22,-2762.406230947143
23,-755.8277244611781
24,-1946.827716171063
25,-2512.5523343714594
26,1581.3008208199494
27,-1666.0340981832233
28,2493.626094984891
29,-139.62585666221185
30,203.17418130059195
31,-1250.8876567147645
32,408.41991358867335
33,-4908.484278227223
34,1667.838141833232
35,2392.7862230831624
36,2668.1522976715405
37,-1929.8559352809334
38,3491.1505144854564
39,-794.2292788065724
40,3095.151477632495
41,2591.973578145803
42,-1335.9521246172508
43,-1669.5358653484782
44,3795.6603021307756
45,-590.6753022836219
46,-493.8169416099954
47,-2641.8395791851362
48,-988.1904536001948
49,-1894.4191614110005
50,509.8308477495061
51,-965.1061098640839
52,432.81161222552123
53,-1380.4492136269455
54,617.8017742115999
55,-2028.1537618011935
56,2398.500585635359
57,1440.399203081181
58,690.7174276823469
59,154.08180885161096
60,1095.545354449372
61,1631.0818825451406
62,1547.849708235657
63,-909.6571445816408
64,1159.0005805061974
65,-121.10108659596426
66,1097.3418365408943
67,-3367.6079190571363
68,1303.4491033471531
69,1536.1467008476648
70,1957.1392807976554
71,-526.9408330936621
72,-225.64381217513937
73,1561.7428606081903
74,-1009.5879998724058
75,1458.3796452750485
76,-136.79197780119193
77,-1083.357940870147
78,0.7874347351762481
79,-841.1040232428259
80,299.3516227185646
81,1047.3726118268096
82,2160.4121566041213
83,837.638324459358
84,698.8484972793831
85,-1218.355342969302
86,337.9253682910271
87,157.02260640580653
88,-88.2782494911844
89,1361.6128202253622
90,229.0060347139961
91,-2118.480838762577
92,706.7922487507503
93,-1539.3707503237729
94,-1865.5374354820306
95,-535.9007711177146
96,358.0703284561132
97,577.3811494007732
98,1257.6156834572976
99,-1425.0309896391718
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0018
