,Unnamed: 0,rad_asec,original_ampl_linear_norm,mu_c,mu_c_minus_tau,corrxn_factor,FPF_tau,TPF,tau,ppf_1st,ppf_2nd,N_FWHM_fit,F,rad_fwhm,FPF_mu_c,TPF_mu_c_minus_tau,del_m_classical,del_m_modern
0,0,0.20817919999999998,0.0006219999999999997,8.164180460356093,1.8124611228107335,1.7054416768057183,4.1666666666666665e-05,0.95,6.351719337545359,6.351719337545359,1.8124611228107335,12.0,0.0010607847229731563,2.0,4.925612639872234e-06,0.949999999999923,8.015524038272954,7.4359318586044605
1,1,0.3122688,0.000199,7.176133219669461,1.74588367627624,1.4768360327609633,2.777777777777778e-05,0.95,5.430249543393222,5.430249543393222,1.74588367627624,18.0,0.0002938903705194317,3.0,1.1022506849478475e-06,0.9499999999999992,9.252867308975732,8.82953660898304
2,2,0.41635839999999996,0.000215,6.775894895341699,1.7138715277470473,1.3831237536930323,2e-05,0.95,5.0620233675946515,5.0620233675946515,1.7138715277470473,25.0,0.0002973716070440019,4.0,3.270392195942051e-07,0.9499999999999998,9.168903850210986,8.816751250368817
3,3,0.5204479999999999,0.00016700000000000007,6.612652132696048,1.6991270265334972,1.3443919146189165,1.6129032258064517e-05,0.95,4.913525106162551,4.913525106162551,1.6991270265334972,31.0,0.00022451344974135914,4.999999999999999,1.5057106106386442e-07,0.95,9.44320882213104,9.12189409240341
4,4,0.7286271999999999,0.000101,6.455229158732576,1.6828780004112913,1.306325012481053,1.1627906976744187e-05,0.95,4.7723511583212845,4.7723511583212845,1.6828780004112913,43.0,0.00013193882626058635,6.999999999999999,4.871054148924969e-08,0.9499999998321289,9.989196565543393,9.699068459400813
5,5,0.9368064,9.1e-05,6.381513885153414,1.6735649059209428,1.2878532638376372,8.92857142857143e-06,0.95,4.707948979232471,4.707948979232471,1.6735649059209428,56.0,0.000117194647009225,9.000000000000002,2.072520144391632e-08,0.949999999957374,10.102396519197265,9.827730561823994
6,6,1.2490752,0.000178,6.336994787595592,1.665996223676495,1.2759337270663473,6.666666666666667e-06,0.95,4.670998563919097,4.670998563919097,1.665996223676495,75.0,0.00022711620341780983,12.0,8.601867884650005e-09,0.9499999999905109,9.373949994227765,9.109379700735223
7,7,1.561344,0.000198,6.321736113987508,1.6615853968734788,1.2711266130721306,5.319148936170213e-06,0.95,4.660150717114029,4.660150717114029,1.6615853968734788,94.0,0.00025168306938828185,15.000000000000002,4.57508930740147e-09,0.9499999999970065,9.258337024346172,8.997864995679661
8,8,1.9777024,0.00012600000000000008,6.319015835007853,1.6579816587044385,1.269146967441093,4.201680672268908e-06,0.95,4.661034176303415,4.661034176303415,1.6579816587044385,119.0,0.0001599125178975778,19.000000000000004,2.4720591129678837e-09,0.9499999999990979,9.749073637206092,9.490293846246425
