,amplitude
0,-17899.750639158832
1,-1924.0020453406723
2,-121186.47855396131
3,-19194.250806527918
4,-14205.22895562238
5,5374.334396335
6,-9075.49799464865
7,91243.4193978015
8,35087.21510519499
9,-26520.08884856929
10,13614.254318996347
11,-9675.547841268917
12,-11584.516002837643
13,407.3714608482778
14,92.40990403360911
15,980.1574170993451
16,4336.521832401155
17,654.0966287782194
18,7868.053764597571
19,1073.4373761656625
20,4146.3811138944475
21,5248.237053054214
22,5943.318670160243
23,-3159.7042168072767
24,-1877.2460014049666
25,3224.277776013525
26,4494.312720526053
27,-5593.590769260565
28,1490.663510431761
29,-4773.791000847032
30,1434.1918978680042
31,-1032.5056731376535
32,-1590.4039365550634
33,-3207.994608352212
34,-969.1663304992344
35,5197.1839170773455
36,-120.0289499104747
37,728.1379326309816
38,3600.1126422349153
39,1153.4018169025803
40,4678.200326412129
41,250.62253546926922
42,-2433.859481009744
43,-772.3995027447818
44,-4427.042073463577
45,3621.2956718468686
46,4527.8374262434845
47,128.318719224887
48,-3401.8413725075516
49,-1055.2532879136998
50,4560.486729948895
51,-734.311150280053
52,2253.5710214967694
53,457.9627718956672
54,-218.11166398077694
55,-2816.1964644507198
56,756.0467426048112
57,-1737.065758435273
58,-1344.1243028634672
59,3088.6698118217682
60,1652.3003391415405
61,255.28881651434494
62,1019.2373674173468
63,1977.120514101167
64,689.8766730625503
65,786.8724664708498
66,2824.252858004038
67,1740.927665371626
68,3285.5080255986795
69,1001.4080134996766
70,-123.3735419522418
71,-831.8543064157257
72,-1311.3442774700998
73,-795.5342795150318
74,-46.39624475817436
75,831.8922022892093
76,1056.5362155056537
77,-2014.5151797910203
78,-2702.9140979129497
79,-2393.4580113492775
80,-1479.1152335531333
81,152.23944696512626
82,-2231.407341800141
83,55.98058705529547
84,560.1896269028139
85,-993.0133192596877
86,-33.46271705038271
87,2535.3104898876663
88,1145.3605521342943
89,2638.4120445971566
90,411.5529293236832
91,-1402.4075634686533
92,462.20621676856535
93,-2267.889517608958
94,-3020.024478387225
95,-382.191963465928
96,1007.029620535719
97,479.93578874560944
98,-240.414913586279
99,346.7834265999395
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0031
