,amplitude
0,-30614.098107823385
1,-12761.648021314677
2,83960.75810930564
3,-24717.592078765014
4,-18673.76040174898
5,82998.09541687682
6,10128.823043693033
7,6852.850351605113
8,-13795.163085783657
9,-7609.986809421231
10,-8384.018795583184
11,28797.852745547316
12,12856.374855247355
13,1056.078268371426
14,-14353.97512627425
15,7560.212834489749
16,19253.977984489986
17,30520.33403786439
18,12155.500255397083
19,5383.661094774627
20,10114.505490775973
21,-1302.5243017514713
22,8397.02737895396
23,1808.9383418390335
24,-17134.548502591795
25,2326.5016999033587
26,3958.867153292096
27,-10225.704699485159
28,11032.291498869874
29,6674.851423921096
30,8075.976296964722
31,-2821.0030049024836
32,-2374.011260698431
33,-2384.496090244026
34,-4583.950192972599
35,-18645.12678212855
36,9935.811638584766
37,-3935.3065962745427
38,-23273.140301316216
39,11163.162524689884
40,-3079.150515587078
41,11449.133233788785
42,20543.52340967939
43,-2560.6982018651197
44,11585.173050348396
45,6205.728402426492
46,-11366.749737763676
47,568.4684582061036
48,-632.8936134292198
49,21701.316152359548
50,7979.325430547393
51,2703.2384689940427
52,3021.7795839776263
53,-2560.865484162042
54,2734.1894260537447
55,-5540.424384786991
56,3207.305091997234
57,107.7495014203696
58,842.9520319106741
59,-1541.6814530263691
60,12016.76273575966
61,4203.272566601005
62,6223.325326543221
63,-3304.28681258713
64,8102.056699727071
65,2044.050854520323
66,-558.126166905713
67,-413.54017228520024
68,2090.5352575127563
69,1520.4199060626015
70,-5909.8351462752635
71,3026.8588672753667
72,2539.9141394629696
73,-5205.924505563135
74,4994.277305759566
75,4181.253919443316
76,-4503.101651778263
77,3882.22280921293
78,2466.6317612275307
79,8387.30987351203
80,-117.34179723533998
81,3213.484360123468
82,-4079.3665556153937
83,5607.696975325404
84,4037.518967827924
85,-240.51500885071528
86,671.8936408836089
87,2871.2438941457804
88,-5358.744130597155
89,-2888.8508697825473
90,-171.682616269316
91,4102.920466376438
92,818.1413936940462
93,3892.4640003498444
94,-3531.13152174273
95,-2703.8689717644193
96,-1946.6804950349233
97,-3142.8757043642145
98,-3997.070082489845
99,1692.5838259406628
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0004
