,amplitude
0,57480.736035477246
1,201016.25529404543
2,-73357.72577189421
3,-32302.482244951225
4,-3981.393163589679
5,-21013.30573592787
6,-46556.34407998544
7,44805.74445372546
8,3342.8505613092566
9,9114.892237766395
10,-3951.727140675119
11,20047.34096979796
12,7323.659376000729
13,-4689.895797838395
14,-4473.836583632939
15,-8397.879463516249
16,-13158.047486943542
17,-8230.30050824207
18,6615.363168185882
19,2225.1171183358547
20,3518.1369807948467
21,-2350.645825791591
22,5392.045450416421
23,-2604.265847041599
24,13004.527779686165
25,-1765.9122483259926
26,3036.4123463577107
27,-7058.162025362413
28,-1890.3530221099045
29,514.4798350427591
30,-1166.6798936312389
31,-1598.6308280522117
32,-856.6412895347976
33,983.8242000667851
34,-3761.282626305403
35,1595.6044098899438
36,-1361.45392344243
37,-2612.115222895793
38,521.0005518402395
39,1240.9510040838286
40,3491.142904440778
41,-1883.096255821948
42,-91.33755207933427
43,812.8936224154895
44,-3060.1803628945963
45,-4201.694910429935
46,693.6890958771037
47,4917.845018258682
48,410.2199384081978
49,-6201.6412099788795
50,-394.2186994087606
51,801.0212860892971
52,-1420.92067112137
53,1833.5846303340768
54,2033.1662514458294
55,5682.061916493676
56,3229.066141676669
57,502.0390749915823
58,1450.0311904534046
59,-3567.3588192664174
60,2867.378906441918
61,301.3875787386969
62,-4745.393115730396
63,-2651.104235108254
64,3435.56396939743
65,-150.07416116958575
66,-618.1511796999112
67,-1482.0811322618538
68,-2414.9697108132787
69,1464.9371626852771
70,1934.933247326513
71,-918.1572891898468
72,-1220.7724788881424
73,-406.7746205579788
74,3569.321357800578
75,-1083.7901707278652
76,-321.171592068491
77,1653.9408751365954
78,174.20782378920921
79,-407.19473103879136
80,-3324.3694223459097
81,29.947329304279265
82,2100.817407880011
83,-687.758801490525
84,-371.3888036943208
85,-1592.988211359836
86,1686.958176006523
87,1383.555984153907
88,811.0012904189753
89,-205.94823241936865
90,-438.6623788450888
91,-1176.5464623155385
92,-1334.3642588770017
93,-912.590666255488
94,2459.066574840883
95,1935.1701715799209
96,2357.538328766721
97,-949.1213517818378
98,650.9815544275116
99,-898.4254610435773
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0012
