UTDate,UTTime,ObjectName,IntegrationTimesec),Centralwavelength(micron),CalibratedNull,CalibratedNullError,CalibratedNullStatisticalError,CalibratedNullSystematicError,RawNull,RawNullError,SystemNull,SystemNullError,RejectedFrames(%),RA,DEC,ObjectAltitudedeg),Houranglefromobservation(hr),Seeing(arcsec),PWV,FPCRMSPiston,QualityFlag,ProjectID,Filename
2018-05-25,04:10:50.29,del_uma,0.046,11.1100,0.018550,0.003076,0.002771,0.001334,0.029649,0.002759,0.011099,0.001360,22.32,12:15:25.561,57:01:57.417,64.5336000000,0.7797500000,0.9440,3.520,0.0053841800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,04:13:28.33,del_uma,0.046,11.1100,0.029166,0.011536,0.011458,0.001334,0.040265,0.011455,0.011099,0.001360,82.84,12:15:25.558,57:01:57.408,64.3895000000,0.8170930000,0.9634,2.800,0.0053246100,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,04:13:28.33,del_uma,0.046,11.1100,0.010412,0.005252,0.005079,0.001334,0.021511,0.005073,0.011099,0.001360,83.43,12:15:25.558,57:01:57.408,64.3895000000,0.8413110000,0.9634,2.800,0.0048003800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,04:16:58.38,del_uma,0.046,11.1100,0.010571,0.006486,0.006347,0.001334,0.021669,0.006342,0.011099,0.001360,83.39,12:15:25.547,57:01:57.373,64.1887000000,0.8844560000,0.9466,2.800,0.0057539300,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,04:16:58.38,del_uma,0.046,11.1100,0.007642,0.006421,0.006281,0.001334,0.018740,0.006275,0.011099,0.001360,74.88,12:15:25.547,57:01:57.373,64.1887000000,0.9267080000,0.9466,2.800,0.0093938100,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,04:21:58.23,del_uma,0.046,11.1100,0.034340,0.007668,0.007551,0.001334,0.045438,0.007547,0.011099,0.001360,57.24,12:15:25.558,57:01:57.432,63.8792000000,1.0363600000,0.9425,2.800,0.0064912600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:04:58.30,del_uma,0.046,11.1100,0.021923,0.002561,0.002186,0.001334,0.033022,0.002169,0.011099,0.001360,2.21,12:15:25.557,57:01:57.394,60.3345000000,1.6808500000,0.8110,2.500,0.0076904600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:07:19.88,del_uma,0.046,11.1100,0.019930,0.002244,0.001805,0.001334,0.031029,0.001785,0.011099,0.001360,8.10,12:15:25.560,57:01:57.456,60.1002000000,1.7248800000,0.8260,2.500,0.0075034500,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:09:47.73,del_uma,0.046,11.1100,0.015357,0.001991,0.001478,0.001334,0.026455,0.001454,0.011099,0.001360,5.54,12:15:25.561,57:01:57.406,59.8532000000,1.7658600000,0.8503,2.700,0.0075938600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:12:12.61,del_uma,0.046,11.1100,0.014686,0.005261,0.005089,0.001334,0.025785,0.005082,0.011099,0.001360,7.18,12:15:25.561,57:01:57.424,59.6067000000,1.8105700000,0.8817,2.700,0.0071127100,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:14:53.31,del_uma,0.046,11.1100,0.012861,0.002739,0.002392,0.001334,0.023960,0.002377,0.011099,0.001360,18.61,12:15:25.561,57:01:57.429,59.3305000000,1.8584200000,0.9305,2.180,0.0070528900,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:17:44.78,del_uma,0.046,11.1100,0.017640,0.001882,0.001328,0.001334,0.028739,0.001301,0.011099,0.001360,27.19,12:15:25.561,57:01:57.435,59.0298000000,1.9418200000,0.8162,2.820,0.0138630000,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:27:28.46,del_uma,0.046,11.1100,0.011649,0.002247,0.001809,0.001334,0.022747,0.001789,0.011099,0.001360,4.27,12:15:25.561,57:01:57.414,57.9783000000,2.0569300000,0.8491,2.260,0.0068663400,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:29:46.75,del_uma,0.046,11.1100,0.007526,0.002806,0.002469,0.001334,0.018625,0.002454,0.011099,0.001360,37.54,12:15:25.562,57:01:57.459,57.7217000000,2.1506900000,0.8587,2.200,0.0076174300,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:35:09.87,del_uma,0.046,11.1100,0.014132,0.006484,0.006345,0.001334,0.025230,0.006340,0.011099,0.001360,2.10,12:15:25.560,57:01:57.413,57.1141000000,2.1924400000,0.8613,2.380,0.0072409200,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:41:37.71,del_uma,0.046,11.1100,0.031705,0.003022,0.002712,0.001334,0.042804,0.002699,0.011099,0.001360,15.12,12:15:25.560,57:01:57.407,56.3681000000,2.2973100000,0.8470,2.040,0.0077956500,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,05:44:15.78,del_uma,0.046,11.1100,0.002764,0.003690,0.003441,0.001334,0.013862,0.003430,0.011099,0.001360,41.83,12:15:25.562,57:01:57.422,56.0588000000,2.3828600000,0.8790,2.460,0.0079706800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:12:56.61,72_her,0.046,11.1100,0.006355,0.006300,0.005755,0.002563,0.018751,0.005747,0.012397,0.002581,57.97,17:20:39.566,32:28:03.684,73.8665000000,-1.1955200000,1.0150,10.340,0.0056611000,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:19:05.45,72_her,0.046,11.1100,-0.001708,0.007692,0.007252,0.002563,0.010688,0.007246,0.012397,0.002581,52.20,17:20:39.566,32:28:03.676,75.1585000000,-1.1443200000,0.9447,2.320,0.0055816400,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:22:05.84,72_her,0.046,11.1100,0.014387,0.003084,0.001715,0.002563,0.026784,0.001688,0.012397,0.002581,40.47,17:20:39.565,32:28:03.679,75.7919000000,-1.0932200000,0.9633,2.320,0.0052078600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:24:53.46,72_her,0.046,11.1100,0.005046,0.003651,0.002599,0.002563,0.017443,0.002582,0.012397,0.002581,43.95,17:20:39.566,32:28:03.680,76.3797000000,-1.0474400000,1.0016,9.760,0.0057586300,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:27:32.44,72_her,0.046,11.1100,0.012849,0.004588,0.003806,0.002563,0.025246,0.003794,0.012397,0.002581,60.95,17:20:39.566,32:28:03.682,76.9383000000,-0.9984010000,0.9167,2.640,0.0054582100,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:30:57.72,72_her,0.046,11.1100,0.010982,0.005820,0.005225,0.002563,0.023379,0.005217,0.012397,0.002581,41.22,17:20:39.566,32:28:03.677,77.6580000000,-0.9469490000,0.9570,2.640,0.0056547400,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:40:40.29,72_her,0.046,11.1100,-0.002685,0.003823,0.002837,0.002563,0.009712,0.002821,0.012397,0.002581,89.37,17:20:39.567,32:28:03.678,79.7038000000,-0.7289820000,1.0094,3.000,0.0057360400,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,07:40:40.29,72_her,0.046,11.1100,0.013549,0.010715,0.010404,0.002563,0.025945,0.010400,0.012397,0.002581,69.46,17:20:39.567,32:28:03.678,79.7038000000,-0.5125970000,1.0094,3.000,0.0057752000,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,08:04:59.76,72_her,0.046,11.1100,0.009049,0.003292,0.002065,0.002563,0.021446,0.002043,0.012397,0.002581,33.25,17:20:39.566,32:28:03.674,84.8324000000,-0.3584410000,0.9498,2.340,0.0064014000,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,08:08:47.91,72_her,0.046,11.1100,0.011156,0.003053,0.001659,0.002563,0.023552,0.001631,0.012397,0.002581,50.37,17:20:39.565,32:28:03.681,85.6348000000,-0.3173370000,0.9743,2.520,0.0059785200,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,08:11:47.95,72_her,0.046,11.1100,0.006689,0.003136,0.001807,0.002563,0.019085,0.001782,0.012397,0.002581,29.20,17:20:39.566,32:28:03.678,86.2659000000,-0.2663870000,1.0250,2.520,0.0060085700,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,09:53:11.76,61_cyg_a,0.046,11.1100,0.005189,0.000947,0.000668,0.000671,0.016316,0.000630,0.011128,0.000707,65.70,21:06:53.949,38:44:57.986,60.6815000000,-2.3494700000,0.9026,2.360,0.0055231800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,09:53:11.76,61_cyg_a,0.046,11.1100,0.003077,0.002275,0.002174,0.000671,0.014204,0.002163,0.011128,0.000707,69.89,21:06:53.949,38:44:57.986,60.6815000000,-2.2574500000,0.9026,2.360,0.0051463400,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,09:53:11.76,61_cyg_a,0.046,11.1100,0.004699,0.001150,0.000934,0.000671,0.015827,0.000907,0.011128,0.000707,65.30,21:06:53.949,38:44:57.986,60.6815000000,-2.1794400000,0.9026,2.360,0.0057489500,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:05:30.07,61_cyg_a,0.046,11.1100,-0.001762,0.001952,0.001833,0.000671,0.009365,0.001820,0.011128,0.000707,27.97,21:06:53.949,38:44:57.976,63.0803000000,-2.1360200000,0.8212,2.340,0.0051253600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:08:00.64,61_cyg_a,0.046,11.1100,-0.001706,0.001656,0.001514,0.000671,0.009422,0.001497,0.011128,0.000707,1.00,21:06:53.953,38:44:57.979,63.5698000000,-2.0890800000,0.8358,2.020,0.0051864700,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:10:58.47,61_cyg_a,0.046,11.1100,-0.002843,0.001749,0.001615,0.000671,0.008285,0.001599,0.011128,0.000707,3.52,21:06:53.952,38:44:57.981,64.1468000000,-2.0482400000,0.9100,2.020,0.0052091600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:13:45.58,61_cyg_a,0.046,11.1100,-0.003832,0.003651,0.003589,0.000671,0.007295,0.003582,0.011128,0.000707,0.75,21:06:53.951,38:44:57.970,64.6896000000,-2.0058800000,0.8932,2.960,0.0054562400,2,4,UT2018-05-25_calib_OB.fits
