,amplitude
0,-843281.0317896351
1,-19392442.782695998
2,2189657.680611515
3,107942.61392547702
4,67259.23976258509
5,285138.23925424373
6,-410852.50964852783
7,-743029.742979703
8,-283485.35905522364
9,-165854.28209819
10,-1179532.3986796495
11,-302214.2644132109
12,-216710.00362131756
13,377910.0872588518
14,-228940.59962453763
15,-145027.63087797392
16,53540.99414018635
17,141208.56095600763
18,78860.23896477284
19,77255.39115395077
20,81347.61257345075
21,-56631.714742060794
22,-44148.69774595302
23,-29322.719333172696
24,-227355.27036313692
25,109568.82126621343
26,-58519.03091021645
27,-5579.956711608567
28,141821.79668968188
29,-58764.74390268198
30,151254.29755514232
31,14014.627011785109
32,86760.4295970494
33,29069.29641831154
34,35917.28186435369
35,-81975.10367973824
36,-87646.37172714621
37,27180.583151779836
38,-5580.997675041435
39,886.9036528032739
40,-65824.83543147909
41,-97507.26815226581
42,-152645.08017610945
43,148837.31809213432
44,-74973.78020902025
45,-133992.46648997255
46,-39294.6905006757
47,-24122.474730913993
48,-23420.336218279554
49,50790.14731569216
50,135014.5276820599
51,-14096.46757633239
52,-31081.683841691352
53,-36056.144503480755
54,10195.878807378002
55,-56217.198941901326
56,29588.52201626217
57,46499.8522788859
58,30728.40595552628
59,70815.21155614662
60,-40283.96895267523
61,-6602.395328341052
62,-956.5600899229757
63,-58704.75379088684
64,38881.97461148631
65,15383.534574803372
66,64432.09692664165
67,-7967.851179236779
68,-58841.7315551457
69,83200.76662970998
70,-3671.755312686553
71,17135.4801818775
72,111739.21498069423
73,3993.216659962898
74,33832.478614047635
75,67450.06787575805
76,46120.009296567645
77,-105396.33871004189
78,4453.947756454814
79,4336.9305216781795
80,-90093.0308620265
81,-2432.0496511175297
82,-7297.023824765813
83,-79551.02373111513
84,-24107.60000302829
85,-41145.58525856584
86,30605.678267939016
87,29039.946450451156
88,-16012.46724177245
89,14427.887027883902
90,85675.4347323468
91,24103.920417274814
92,35042.17196044355
93,-15209.545867835404
94,-30500.60649002425
95,-91746.63176346198
96,33863.6133749038
97,70959.58237870596
98,-1741.1095204724697
99,-35375.45626720856
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0010
