,amplitude
0,14487.387383468886
1,-9050.503990355588
2,-123624.04768762768
3,-24824.455415774784
4,-5623.773591928151
5,-1125.054268619253
6,-36186.61084711378
7,49615.68383376877
8,788.0945012733537
9,-39150.88323361718
10,-5302.931327165881
11,6113.957243828592
12,9671.00597907983
13,10983.18234864884
14,-1674.3016484813124
15,-19730.20623994031
16,-5895.544429112711
17,9424.419723743797
18,6646.96804169696
19,5371.285945848438
20,1145.156257139668
21,-1985.4218704629056
22,737.3872221226484
23,7629.746664611837
24,-1427.321495680335
25,-4233.575851175414
26,6203.926182994754
27,-1261.39458532344
28,2003.8247026109293
29,-1853.196538368622
30,1858.900001687416
31,-2583.6796310677164
32,4010.929891684342
33,-1779.0453765282846
34,3444.270435748417
35,9333.181670285148
36,3279.9244719656663
37,-7348.0630145587
38,1507.138411397767
39,-600.0259933180714
40,-17.930022927544087
41,-2564.9823195063964
42,885.6386954075579
43,-1909.489678804568
44,3212.3870971997326
45,-4749.917795865491
46,-570.2744880318714
47,4483.642168092306
48,-975.1527211071843
49,-1801.2384269053764
50,3459.0123042859086
51,869.0811153196937
52,1821.2624222155919
53,-2051.065442050425
54,-372.3399849162579
55,4185.548837470753
56,1420.9185716596512
57,1471.353091969287
58,-2343.208623309294
59,-4212.545982866661
60,2863.7141421316555
61,1967.7158151016938
62,1436.008290428892
63,732.6541060869531
64,-4075.1748126961756
65,-1328.6553024924397
66,2244.829956778958
67,-2420.9629846446915
68,-2099.7902191507264
69,2271.667646186601
70,637.4459096857772
71,-675.0881096727344
72,-4503.383683957047
73,192.01981979946868
74,929.5557652674975
75,-440.1564570456794
76,-1640.285386492389
77,426.38083729109894
78,-993.408889835926
79,-497.343053158711
80,-1050.5299387138803
81,-373.26252522733375
82,990.8446086567114
83,385.234013786697
84,4764.979141570966
85,-2138.8579590428853
86,2318.769765184712
87,-1706.4398634114623
88,2118.814172073633
89,3136.057299654509
90,-1668.5851851240059
91,-540.5809846996708
92,809.8051071481132
93,-291.64312280070953
94,1857.1033855708238
95,1088.7611616019312
96,3148.268306322214
97,1116.2083571273433
98,-541.644509697244
99,1608.6929001770823
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0014
