,amplitude
0,-787429.4149309064
1,7280.313646362473
2,220374.70387813903
3,-41957.40341268595
4,-4636.019455814399
5,-38592.3681341555
6,-15851.426340745129
7,-40551.04590920775
8,-69945.27413144983
9,3377.8426050977287
10,-6348.656193547133
11,-45759.70251652114
12,-13460.82278171827
13,-24570.946673003586
14,-24445.216773420572
15,34653.02000866176
16,13415.965649007485
17,-6820.884214182959
18,7649.388301396961
19,2481.2369128469
20,8133.52873613721
21,9797.78710933555
22,-12601.513727338403
23,-407.95177541236626
24,-647.7890215090083
25,-36.362572053105396
26,2660.700559008954
27,9502.634006878976
28,-3997.416582899852
29,-349.50008917398736
30,-3383.7749826662366
31,-1757.2710301152147
32,3879.898252607789
33,7430.598406669173
34,-8586.1333574589
35,-6133.045212606423
36,-10957.483552488806
37,-3673.45778686521
38,4279.912540485933
39,-329.0668448037068
40,-1103.129820542461
41,5350.913918743043
42,-4307.698200741617
43,2613.3156202215723
44,-2831.1287780054236
45,-2888.0334252139983
46,3404.287222001858
47,2031.6286330697062
48,-3753.3669693837596
49,5757.128912496403
50,3527.4737636808877
51,422.2943663909755
52,-743.8102088048818
53,-6642.161951848077
54,699.714134369533
55,4015.2806129445653
56,-572.6467081311312
57,4200.796745123236
58,143.50057402931998
59,911.9027162895472
60,1750.889115876511
61,-3190.631730976358
62,1723.8049027605575
63,-3646.3173501292495
64,-1236.3532057373923
65,699.8491188403023
66,3309.635301746119
67,-1316.5788357531128
68,-5869.192423723227
69,2085.7579038931526
70,-493.117702370615
71,7139.732232961751
72,-419.587035160348
73,-3688.348955187492
74,2728.762229565891
75,709.6554188849095
76,2697.788318090037
77,-1539.6002139958
78,1660.071573011981
79,-6801.628547265171
80,616.9510586131073
81,-880.4611372447034
82,-366.13383271003977
83,-8152.787520083848
84,882.115532885522
85,-1098.7088905960336
86,2723.235885280086
87,-4594.820829019763
88,-377.755123054425
89,-145.82328688931557
90,518.0465019957555
91,-2257.8231564245652
92,-990.5469238342648
93,-3062.9486887133316
94,910.8810841926625
95,1638.6710383114369
96,1642.756637241655
97,-2089.154241141052
98,814.0354928535667
99,-789.3239841943432
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0011
