,amplitude
0,42405.58107299572
1,-10588.687409134975
2,-294718.22252155654
3,-55256.728473872354
4,-3938.0347700474777
5,-33144.81962472154
6,4721.090051346488
7,42721.821844448335
8,2002.1647912684493
9,-41197.79765632802
10,4831.103253286652
11,-10543.957654297723
12,-17646.819561702774
13,-12557.244095576665
14,12407.860343819724
15,-4625.5296739304395
16,4111.75370227034
17,-3835.912552598402
18,6775.478055391739
19,2073.2660601814205
20,-8356.120475617383
21,8495.04454762799
22,8466.530717357206
23,-7.199050683488167
24,5395.010589602074
25,1355.2436606692254
26,-2754.423678629115
27,-5161.343827694649
28,802.523289412271
29,-712.3582817764272
30,5795.867701504085
31,-7061.017167263826
32,-4780.7138406863805
33,-1291.6486410857651
34,-2640.9694646507924
35,3911.393201214036
36,-223.9469411262835
37,3406.8909835422473
38,2874.7284108906133
39,6631.067654890649
40,-312.71786839428387
41,-2283.1416726791012
42,1422.5382313612026
43,2757.9865561340057
44,602.6997376923414
45,-4800.342615689036
46,-2979.0440715347286
47,-3690.3491985123146
48,-3190.9824367861147
49,-6205.258166281623
50,-3722.1285241484
51,-1543.1911853580514
52,-5434.560661382926
53,94.30808108029123
54,63.15026872537783
55,-1408.4254419559875
56,2766.2263099521588
57,-1831.1230079858215
58,5734.096005007352
59,1015.9358619071245
60,-549.1456200248676
61,-4788.834461694194
62,3802.3283544702927
63,1078.6824413553695
64,1604.5443642580576
65,-2262.6117988508486
66,484.4069091696874
67,770.2698595784022
68,4421.418670346564
69,-1917.2941769782847
70,403.05442425854835
71,3003.518269744134
72,-288.33903892499075
73,2644.2325811534593
74,-476.8594960130049
75,-129.86497728155518
76,1539.0933133289946
77,-4083.4293973444146
78,4016.3510541554297
79,994.9448596135335
80,-2762.537743713481
81,-1861.8951186393124
82,752.162298212992
83,-472.4669900123663
84,2932.776610147026
85,-4509.851212783327
86,630.9398806194586
87,1876.1759335420902
88,1329.642478394926
89,1850.5030839379542
90,497.41815187976135
91,-102.8634596314223
92,2804.3402478853677
93,-1347.9109570972942
94,-2440.694071546837
95,-37.15453456619434
96,181.12017888798437
97,-1566.8058691769766
98,567.7057587675081
99,-1195.864570868769
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0030
