,0
176,37316190.76895374
177,21482380.011169046
178,22397356.88451779
179,20358582.230988182
180,19754437.281426374
181,16105217.40499653
182,18698924.56851654
183,16891999.6559916
184,9920732.49115489
185,17794639.59058045
186,10121921.881529711
187,8911971.804227622
188,10975714.792292694
189,10115045.743484762
190,7377202.344522739
191,10064398.910599135
192,9247416.189784503
193,8672319.855909258
194,7868528.42052652
195,8254647.363425112
196,9684045.58265289
197,9068840.602162393
198,9371761.098222867
199,8708532.832158118
200,8467714.863207111
201,8672779.290379407
202,9032387.682656122
203,10699368.501317974
204,9292716.667023541
205,10438003.219844267
206,9462697.201773714
207,9339505.883051649
208,9766818.73315582
209,10086235.545027766
210,9548027.75529525
211,11191666.422231402
212,11178541.49087195
213,8485670.135968152
214,9544110.737249713
215,10938567.166584818
216,7781531.355854631
217,8870287.008665504
218,9925702.012535324
219,8906444.755113812
220,9104055.513881812
221,7563911.797280574
222,8465038.17268127
223,9670098.55735292
224,7856527.306757234
225,10164038.482392918
226,7154236.55744608
227,7502105.342766504
228,8292844.393105147
229,6937719.7813672805
230,6575864.959577864
231,7950514.522615052
232,7235337.8808091115
233,6668851.85899925
234,6787548.459616769
235,6860828.432472773
236,6648493.543631228
237,6843242.270206443
238,6916272.066148419
239,6732708.286884981
240,6920374.122002897
241,7031493.076179057
242,6619182.040780879
243,5955180.022470662
244,7097196.304794819
245,6574571.690594509
246,7577704.570446678
247,7650446.676175007
248,6223802.00519334
249,6305161.501576896
250,5489562.862960958
251,5856979.341854818
252,6538195.460038118
253,6423410.967454179
254,6549680.8430859605
255,6237164.155583692
256,6328039.8291017935
257,7714366.360042027
258,7312976.194570295
259,7101501.650865563
260,6595571.169721307
261,5960918.921006384
262,7114781.652093454
263,8128176.037498333
264,6388792.460486634
265,7618778.699024011
266,7914549.223854473
267,5835666.852574387
268,7265630.73263475
269,8368345.411757731
270,7516477.215612675
271,8011517.3144964315
272,7348302.575025965
273,7716698.41674983
274,7517104.40093599
275,7008877.499195206
276,7374329.546125616
277,7128473.358641088
278,7639463.377852788
279,8761694.69070114
280,8414174.215473613
281,8323081.59190817
282,9165950.167090863
283,9527049.904504156
284,7757301.563870643
285,8901317.115235409
286,8671189.332061859
287,7375112.111411529
288,9647189.3884121
289,8186751.690768907
290,8487599.700391525
291,7491160.323562995
292,7674464.2495459
293,7822688.434326712
294,8272232.075891774
295,7346834.842740687
296,5981635.113072803
297,7162689.06739077
298,7368094.339221128
299,7265675.782879926
300,6635965.904736016
301,6183520.88693065
302,8060541.997608329
303,6447982.686146122
304,6913207.083566834
305,6437078.760642252
306,6523971.504245353
307,6175301.424988277
308,6927538.145480654
309,7173754.440712141
310,9126353.610447723
311,6935899.9219898395
312,5618072.430661692
313,5476194.565420219
314,6017655.542198529
315,6200749.938292397
316,7075545.264750194
317,6755369.491994025
318,6699100.072558638
319,7152201.628005531
